,Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
34862,43779,9380,2,1489842000.0,,
34863,43780,9379,2,1489842000.0,,
34864,43781,9378,2,1489842000.0,,
34865,43782,9376,2,1489842000.0,,
34866,43783,9374,2,1489842000.0,,
34867,43784,9373,2,1489842000.0,,
34868,43785,9372,2,1489842000.0,,
34869,43786,9364,2,1489842000.0,,
34870,43787,9362,2,1489842000.0,,
34871,43788,9360,2,1489842000.0,,
34872,43789,9359,2,1489842000.0,,
34873,43790,9358,2,1489842000.0,,
34874,43791,9355,2,1489842000.0,,
34875,43792,9353,2,1489842000.0,,
34876,43793,9349,2,1489842000.0,,
34877,43794,9348,2,1489842000.0,,
34878,43795,9343,2,1489842000.0,,
34879,43796,9332,2,1489842000.0,,
34880,43797,10864,2,1489842000.0,,
34881,43798,10858,2,1489842000.0,,
34882,43799,10868,2,1489842000.0,,
34883,43800,10869,2,1489842000.0,,
34884,43801,10866,2,1489842000.0,,
34885,43802,10865,2,1489842000.0,,
34886,43803,10513,2,1489842000.0,,
34887,43804,10513,5,1489842000.0,1052.0,
34888,43805,10866,2,1489842000.0,,
34889,43806,10872,2,1489842000.0,,
34890,43807,9648,2,1489842000.0,,
34891,43808,2009,2,1489842000.0,,
34892,43809,5892,2,1489842000.0,,
34893,43810,5892,5,1489842000.0,15618.0,
34894,43811,5584,2,1489842000.0,,
34895,43812,5584,5,1489842000.0,15618.0,
34896,43813,5604,2,1489842000.0,,
34897,43814,10868,16,1489928400.0,,
34898,43815,10872,2,1489928400.0,,
34899,43816,9834,3,1489928400.0,,
34900,43817,10873,16,1489928400.0,,
34901,43818,10840,16,1489928400.0,,
34902,43819,258,5,1489928400.0,15277.0,
34903,43820,10868,2,1489928400.0,,
34904,43821,10812,2,1489928400.0,,
34905,43822,10442,2,1489928400.0,,
34906,43823,10378,2,1489928400.0,,
34907,43824,10584,5,1489928400.0,15623.0,
34908,43825,1957,2,1489928400.0,,
34909,43826,6835,2,1489928400.0,,
34910,43827,1951,2,1489928400.0,,
34911,43828,2122,2,1489928400.0,,
34912,43829,1957,2,1489928400.0,,
34913,43830,6835,2,1489928400.0,,
34914,43831,1964,2,1489928400.0,,
34915,43832,1951,5,1489928400.0,4184.0,
34916,43833,1951,2,1489928400.0,,
34917,43834,10865,2,1489928400.0,,
34918,43835,10866,2,1489928400.0,,
34919,43836,10154,2,1489928400.0,,
34920,43837,10155,2,1489928400.0,,
34921,43838,10198,2,1489928400.0,,
34922,43839,10837,2,1489928400.0,,
34923,43840,562,2,1489928400.0,,
34924,43841,1554,2,1489928400.0,,
34925,43842,10857,1,1489928400.0,,
34926,43843,10877,2,1489928400.0,,
34927,43844,2122,2,1489928400.0,,
34928,43845,10876,2,1489928400.0,,
34929,43846,7326,2,1489928400.0,,
34930,43847,10875,2,1489928400.0,,
34931,43848,10874,2,1489928400.0,,
34932,43849,10868,2,1489928400.0,,
34933,43850,10869,2,1489928400.0,,
34934,43851,10872,2,1489928400.0,,
34935,43852,10878,2,1489928400.0,,
34936,43855,6703,2,1489928400.0,,
34937,43856,3608,2,1489928400.0,,
34938,43857,10873,2,1489928400.0,,
34939,43858,10816,2,1489928400.0,,
34940,43859,10817,2,1489928400.0,,
34941,43860,10818,2,1489928400.0,,
34942,43863,10800,1,1489928400.0,,
34943,43864,9158,1,1489928400.0,,
34944,43865,10869,2,1489928400.0,,
34945,43866,10875,2,1490014800.0,,
34946,43867,10874,2,1490014800.0,,
34947,43868,10873,2,1490014800.0,,
34948,43869,10872,2,1490014800.0,,
34949,43870,3367,2,1490014800.0,,
34950,43871,3361,2,1490014800.0,,
34951,43872,3360,2,1490014800.0,,
34952,43873,3357,2,1490014800.0,,
34953,43874,3353,2,1490014800.0,,
34954,43875,3351,2,1490014800.0,,
34955,43876,3346,2,1490014800.0,,
34956,43877,3345,2,1490014800.0,,
34957,43878,3341,2,1490014800.0,,
34958,43879,3339,2,1490014800.0,,
34959,43880,3337,2,1490014800.0,,
34960,43881,3334,2,1490014800.0,,
34961,43882,3333,2,1490014800.0,,
34962,43883,3332,2,1490014800.0,,
34963,43884,3329,2,1490014800.0,,
34964,43885,3321,2,1490014800.0,,
34965,43886,3319,2,1490014800.0,,
34966,43887,3317,2,1490014800.0,,
34967,43888,3315,2,1490014800.0,,
34968,43889,3304,2,1490014800.0,,
34969,43890,3302,2,1490014800.0,,
34970,43891,3301,2,1490014800.0,,
34971,43892,3299,2,1490014800.0,,
34972,43893,3291,2,1490014800.0,,
34973,43894,3288,2,1490014800.0,,
34974,43895,3287,2,1490014800.0,,
34975,43896,3283,2,1490014800.0,,
34976,43897,3280,2,1490014800.0,,
34977,43898,3278,2,1490014800.0,,
34978,43899,3276,2,1490014800.0,,
34979,43900,3274,2,1490014800.0,,
34980,43901,3271,2,1490014800.0,,
34981,43902,3305,2,1490014800.0,,
34982,43903,3264,2,1490014800.0,,
34983,43904,3262,2,1490014800.0,,
34984,43905,3259,2,1490014800.0,,
34985,43906,10877,2,1490014800.0,,
34986,43907,10878,2,1490014800.0,,
34987,43908,10876,2,1490014800.0,,
34988,43909,10879,2,1490014800.0,,
34989,43910,10154,2,1490014800.0,,
34990,43911,10876,3,1490014800.0,,
34991,43912,10879,2,1490014800.0,,
34992,43913,9391,16,1490014800.0,,
34993,43914,10874,16,1490014800.0,,
34994,43915,10868,16,1490014800.0,,
34995,43916,10879,2,1490014800.0,,
34996,43917,10876,3,1490014800.0,,
34997,43918,10867,8,1490014800.0,15608.0,50.0
34998,43919,9372,2,1490014800.0,,
34999,43920,10878,2,1490014800.0,,
35000,43921,10867,2,1490014800.0,,
